year,claim,ret,dgrowth,pd
1977,large,-0.13866451395835866,0.0518955585333955,20.63268491829908
1978,large,-0.010105778657670927,0.02748965948989434,18.83688205482228
1979,large,0.08040285043299034,0.024672286274339775,18.782078181557235
1980,large,0.2020658861798852,-0.015428476664997087,21.761362326785036
1981,large,-0.13973224097465609,-0.05051334071723494,18.7066690762611
1982,large,0.12426328161680367,0.008868832360030443,19.6577557390769
1983,large,0.15293543101401497,-0.006784187468881167,21.77889974825478
1984,large,0.04330455795026911,-0.005326137123945182,21.769432741258136
1985,large,0.2831949161287044,0.0547572713413528,25.305095707880195
1986,large,0.1594538895220916,0.0376719131152365,27.236024014407292
1987,large,0.011417468582239243,0.02803058972413949,25.900343832646076
1988,large,0.12122171628314482,0.1612064034434631,23.660279015422105
1989,large,0.2657829852646121,-0.024409121826906938,29.581563961446832
1990,large,-0.06458795287699426,-0.03643308112874408,27.682177129366153
1991,large,0.27392474312669357,-0.011533670828704878,34.55563786160819
1992,large,0.041057129525643,-0.01340498623327116,35.40032504959672
1993,large,0.05642511275058215,0.010511679609096991,35.97181408061767
1994,large,-0.008013848873638318,0.009589597509461006,34.329848277279005
1995,large,0.36356068498903626,0.01797289030002966,44.828717497730544
1996,large,0.20628972051884853,0.03416450041947791,51.152500836842194
1997,large,0.3216465278113736,0.03720837731190396,64.00739758973026
1998,large,0.31054501374263865,0.018139167401053008,81.21762454577667
1999,large,0.19780239918948794,0.020089399100121752,94.2243746941325
2000,large,-0.1324294153956329,-0.08298802664220653,87.90201787114584
2001,large,-0.1519610557841784,-0.046465924932071245,77.11377850003086
2002,large,-0.22868802855842751,0.04048735786789093,56.20733204415624
2003,large,0.2447427250119527,0.08304579258821507,63.236347749759155
2004,large,0.07142802422027783,0.23400182690249288,52.55342302820671
2005,large,0.021565181796520116,-0.08302639019323244,57.29536612891955
2006,large,0.1241268637961832,0.10451999294620956,56.9278695203531
2007,large,0.0427570601009708,0.07356668443544034,54.13826225971925
2008,large,-0.38157626401944855,-0.03081493117858569,33.748416832685315
2009,large,0.2636828686702424,-0.1469452654166944,48.18780626324216
2010,large,0.11977480078182778,-0.009702785500672162,53.36500031270291
2011,large,-0.004617794553572585,0.09649372724283856,47.23732211586417
2012,large,0.1404778697020781,0.19624061499471968,43.23753868747621
2013,large,0.314680191679499,0.027030174940985585,54.195148035175855
2014,large,0.11544004345312575,0.11838696506092394,52.638501819301666
2015,large,0.010119174566731504,0.08531329787608355,47.81827759904246
1930,growth,-0.2279556530433543,-0.10094388852860528,17.73780649145027
1931,growth,-0.274642456464932,-0.03005146841509848,12.526307379536872
1932,growth,0.008862371598885144,-0.15042845178974845,13.608129755889774
1933,growth,0.4435860099802422,-0.13076833832120732,21.240439486843627
1934,growth,0.061742410083268195,-0.029656719139993237,22.159346364720776
1935,growth,0.406239832643134,0.032224734294122426,28.953586070847283
1936,growth,0.26304009778980797,0.4433942587875488,22.384651891138063
1937,growth,-0.3633235399879513,-0.017191663703836263,13.704658627115489
1938,growth,0.38760619933228235,-0.5443170520144126,31.589845381634735
1939,growth,0.061015420657306585,0.3692691909671982,22.079520771505482
1940,growth,-0.10632776736630278,0.07706376927411196,17.26760747110096
1941,growth,-0.17423021750624446,-0.03933324169822916,13.88212188815505
1942,growth,0.036561314931124134,-0.4079061398936947,20.475014256971143
1943,growth,0.0805117918312579,-0.11280772012260898,23.74511399592144
1944,growth,0.10579340305543883,0.02326498709932534,24.586031317712898
1945,growth,0.2838988410717378,-0.04481508576740789,31.87013166892503
1946,growth,-0.154851451053721,0.011144040667140476,25.701051011405223
1947,growth,-0.06430840879477862,0.0787444048284931,21.200722796008257
1948,growth,-0.03089606339354145,0.13242421235310986,16.975914800941382
1949,growth,0.2702775992401678,0.1894552951202133,16.68372944887412
1950,growth,0.2354410702787353,0.21535952804336977,15.523581028373357
1951,growth,0.12943551473942683,-0.22255472180725122,20.83206039793176
1952,growth,0.11725123451744013,-0.01409264466514637,22.51515089035159
